Date,Open,High,Low,Close,Volume,rsi,macd,macd_signal,macd_diff,bb_width,bb_pct_b,ema_short,ema_long,ema_cross,volume_ratio,return_1d,return_5d,return_20d,volatility_20d,volatility_60d,fed_rate,cpi,us_10y,target_trend,target_volatility
2015-03-31,1185.800048828125,1190.0999755859375,1178.199951171875,1183.0999755859375,3409,47.02259375279747,-3.3512924224592098,-8.1203612019218,4.7690687794625894,6.646397512843014,0.6042349857544466,1185.4940962624491,1197.169659106693,-1,0.31707203646002885,-0.001434903082481287,-0.007216561163303381,-0.017358824264171457,0.1426168178908847,0.15566608021212489,0.11,235.976,1.94,1.0,2.0
2015-04-01,1182.9000244140625,1208.199951171875,1181.0,1208.0999755859375,1632,58.27355093261097,-1.2432946689107212,-6.744947895319584,5.5016532264088625,6.832507959015101,0.9080073469321936,1187.6470371504004,1197.5982989686242,-1,0.1506681745793616,0.021130927661137555,0.009020234124589743,0.0062468766887486815,0.16189680002818455,0.15855804787437908,0.12,236.222,1.87,1.0,2.0
2015-04-02,1204.0,1205.699951171875,1194.800048828125,1200.9000244140625,1684,54.67240139307681,-0.1519159564063557,-5.426341507536939,5.274425551130583,6.927571253326627,0.8108445440121802,1188.9092264136063,1197.7277783978573,-1,0.15429016446012186,-0.005959731245241517,-0.0034851475039097135,0.004180951499227259,0.1627716357903434,0.15680439174366848,0.12,236.222,1.92,1.0,2.0
2015-04-06,1209.9000244140625,1224.199951171875,1209.9000244140625,1218.5999755859375,343,61.04554880470147,2.116845988256955,-3.91770400837816,6.034549996635115,7.5375769021457355,0.953634048360312,1191.7369168109713,1198.5462959346448,-1,0.03140091090105967,0.014738904831408384,0.01566921653001674,0.04681728472038493,0.13536440805236907,0.15904819646444535,0.12,236.222,1.92,1.0,2.0
2015-04-07,1214.800048828125,1214.800048828125,1208.199951171875,1210.5999755859375,406,57.135350774402376,3.232065791189598,-2.4877500484646085,5.719815839654206,7.823857372338594,0.8256740743674764,1193.5333985990633,1199.0189892543035,-1,0.03710710793050186,-0.006564910684618508,0.02177576442820972,0.037894333201920816,0.13898967555165542,0.15959431840118413,0.12,236.222,1.89,1.0,2.0
2015-04-08,1208.9000244140625,1211.4000244140625,1197.5999755859375,1203.0999755859375,236,53.66486137796887,3.470690243160334,-1.29606199013962,4.766752233299954,7.809790873159804,0.7211896676402829,1194.4445011692417,1199.1790279339755,-1,0.02155566110116547,-0.006195275195152727,0.01690474212890991,0.037065770972266154,0.13957183825359343,0.1595604884255515,0.12,236.222,1.92,1.0,2.0
2015-04-09,1201.699951171875,1202.5,1193.0,1193.5999755859375,521,49.55855382634794,2.8602599392268075,-0.46479760426633454,3.325057543493142,7.4231975069921114,0.5998846788592538,1194.3640701613078,1198.9602415673858,-1,0.0474899163685254,-0.007896268134635509,-0.012002317931483653,0.037281677443692374,0.13937672042830734,0.15769419198278808,0.12,236.222,1.97,1.0,2.0
2015-04-10,1195.800048828125,1209.5999755859375,1195.800048828125,1204.5999755859375,202,53.95219105500517,3.2268999012251243,0.2735418968319572,2.9533580043931673,7.087109854961689,0.7039087037494481,1195.3389182969868,1199.181407607329,-1,0.018400940087632198,0.009215817882871624,0.0030809818441632775,0.04556896199333704,0.14175366468564948,0.15890702491323788,0.12,236.222,1.96,1.0,2.0
2015-04-13,1208.0999755859375,1208.0999755859375,1198.300048828125,1199.300048828125,424,51.619216816623236,3.0545934645465422,0.8297522103748742,2.2248412541716682,6.5839924024332515,0.6215941748679051,1195.7161688237618,1199.186060204223,-1,0.03855702165195013,-0.004399740050828549,-0.01583778692308979,0.04051715619588392,0.1435972807657168,0.15911459157315833,0.12,236.222,1.94,1.0,2.0
2015-04-14,1198.800048828125,1200.5999755859375,1184.0999755859375,1192.800048828125,546,48.83040411838816,2.3662668436211334,1.1370551370241262,1.2292117065970072,5.943365548645668,0.5148248178125728,1195.4384431098915,1198.9356283855525,-1,0.0495408848401263,-0.005419828012473871,-0.014703392629094703,0.03424954333448271,0.1459488741442507,0.15082196009759916,0.12,236.222,1.9,1.0,2.0
